Place Of Service,Service Type,Product,Group Size,In Network,Is Covered,Date of Service From,Date of Service To,Covered in Full,Copay,Coinsurance
Office,ambulatorySurgery,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,ambulatorySurgery,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,anesthesia,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,anesthesia,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,anesthesia,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,anesthesia,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,anesthesia,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,anesthesia,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,anticoagulantTherapy,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,anticoagulantTherapy,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,anticoagulantTherapy,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,anticoagulantTherapy,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,anticoagulantTherapy,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,anticoagulantTherapy,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,autismEvaluation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,autismEvaluation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,autismEvaluation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,autismEvaluation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,autismEvaluation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,autismEvaluation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,autologousBlood,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,autologousBlood,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,autologousBlood,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,autologousBlood,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,autologousBlood,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,autologousBlood,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,biofeedback,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,biofeedback,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,biofeedback,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,biofeedback,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,biofeedback,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,biofeedback,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,boneDensityTest,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,boneDensityTest,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,boneDensityTest,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,boneDensityTest,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,boneDensityTest,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,boneDensityTest,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cardiacRehabilitation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cardiacRehabilitation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cardiacRehabilitation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,cardiacRehabilitation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,cardiacRehabilitation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,cardiacRehabilitation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,castingAndStrapping,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,castingAndStrapping,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,castingAndStrapping,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,castingAndStrapping,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,castingAndStrapping,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,castingAndStrapping,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cerumenWaxRemoval,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cerumenWaxRemoval,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cerumenWaxRemoval,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,cerumenWaxRemoval,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,cerumenWaxRemoval,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,cerumenWaxRemoval,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,chemotherapy,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,chemotherapy,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,chemotherapy,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,chemotherapy,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,chemotherapy,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,chemotherapy,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,childbirthClasses,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,childbirthClasses,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,childbirthClasses,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,"""50%""",N
Outpatient,childbirthClasses,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,"""50%""",N
Office,childbirthClasses,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,"""50%""",N
Inpatient,childbirthClasses,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,childImmunizations,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,childImmunizations,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,childImmunizations,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,childImmunizations,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,childImmunizations,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,childImmunizations,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,chiropracticServices,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,chiropracticServices,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,chiropracticServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,chiropracticServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,chiropracticServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,chiropracticServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,chlamydiaScreening,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,chlamydiaScreening,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,chlamydiaScreening,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,chlamydiaScreening,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,chlamydiaScreening,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,chlamydiaScreening,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,christianScienceServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,christianScienceServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,christianScienceServices,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,christianScienceServices,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,christianScienceServices,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,christianScienceServices,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,clinicalTrials,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicalTrials,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicalTrials,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,clinicalTrials,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicalTrials,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicalTrials,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,clinicServices,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicServices,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicServices,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,clinicServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,clinicServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,clinicServices,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,coeBariatricSurgery,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,coeBariatricSurgery,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,coeBariatricSurgery,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,coeBariatricSurgery,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,coeBariatricSurgery,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,coeBariatricSurgery,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,coeOrganTransplant,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,coeOrganTransplant,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,coeOrganTransplant,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,coeOrganTransplant,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,coeOrganTransplant,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,coeOrganTransplant,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,essentalDentalServices,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,essentalDentalServices,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,essentalDentalServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,essentalDentalServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Outpatient,essentalDentalServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,essentalDentalServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,consciousSedation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,consciousSedation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,consciousSedation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,consciousSedation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,consciousSedation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,consciousSedation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,consultations,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,consultations,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,consultations,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,consultations,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,consultations,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,consultations,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,contraceptiveDevices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,contraceptiveDevices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,contraceptiveDevices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,contraceptiveDevices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Outpatient,contraceptiveDevices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,contraceptiveDevices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,contrastAgents,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,contrastAgents,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,contrastAgents,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,contrastAgents,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,contrastAgents,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,contrastAgents,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cultredSubstituteSurgery,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cultredSubstituteSurgery,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cultredSubstituteSurgery,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,cultredSubstituteSurgery,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Outpatient,cultredSubstituteSurgery,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,cultredSubstituteSurgery,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticDme,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticDme,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticDme,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticDme,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,diabeticDme,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticDme,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticDrugs,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticDrugs,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticDrugs,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticDrugs,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,diabeticDrugs,PRODUCT555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticDrugs,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticEducation,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,diabeticEducation,PRODUCT555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticEducation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticEducation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,diabeticEducation,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,diabeticEducation,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticEyeExam,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,diabeticEyeExam,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticEyeExam,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticEyeExam,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,diabeticEyeExam,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,diabeticEyeExam,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticFootCare,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticFootCare,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticFootCare,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticFootCare,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,diabeticFootCare,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,diabeticFootCare,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticShoes,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticShoes,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticShoes,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticShoes,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,diabeticShoes,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticShoes,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticSupplies,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticSupplies,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticSupplies,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,diabeticSupplies,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticSupplies,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticSupplies,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticTesting,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticTesting,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticTesting,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticTesting,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,diabeticTesting,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,diabeticTesting,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diagnosticImaging,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diagnosticImaging,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diagnosticImaging,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diagnosticImaging,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,diagnosticImaging,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,diagnosticImaging,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diagnosticTesting,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diagnosticTesting,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diagnosticTesting,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,diagnosticTesting,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,diagnosticTesting,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,diagnosticTesting,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,dme,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,dme,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,dme,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,dme,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,dme,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,dme,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electiveAbortion,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electiveAbortion,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electiveAbortion,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,electiveAbortion,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,opSurgeryCopay,N
Office,electiveAbortion,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,electiveAbortion,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electiveSterilization,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electiveSterilization,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electiveSterilization,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,electiveSterilization,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,opSurgeryCopay,N
Office,electiveSterilization,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,electiveSterilization,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electrocardiogram,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electrocardiogram,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electrocardiogram,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,electrocardiogram,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,electrocardiogram,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,electrocardiogram,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electroencephalogram,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electroencephalogram,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electroencephalogram,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,electroencephalogram,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,electroencephalogram,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,electroencephalogram,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,er,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,er,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,er,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,er,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,erCopay,N
Office,er,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,er,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,facilityBasedPractitionerServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,facilityBasedPractitionerServices,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,facilityBasedPractitionerServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,facilityBasedPractitionerServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,facilityBasedPractitionerServices,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,facilityBasedPractitionerServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,familyPlanning,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,familyPlanning,PRODUCT555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,familyPlanning,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,familyPlanning,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,familyPlanning,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,familyPlanning,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,footCareSurgicalServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,footCareSurgicalServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,footCareSurgicalServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,footCareSurgicalServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,footCareSurgicalServices,PRODUCT555,L,Y,Y,1/1/2015,12/31/2023,N,opSurgeryCopay,N
Inpatient,footCareSurgicalServices,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,freestandingAmbSurg,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,freestandingAmbSurg,PRODUCT555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,freestandingAmbSurg,PRODUCT555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
